,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_learning_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,6.229791116714478,0.5449792639101256,0.9634689331054688,0.7320825749735222,10,50,1e-05,Adam,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 1e-05, 'optimizer': 'Adam'}",-0.5122629908804646,-0.6308224512585648,-0.6130143807965314,-0.31506462550488507,-0.32756234378613797,-0.47974535844531685,0.13558888631675703,44
16,6.318307781219483,0.0626662261029577,0.20403528213500977,0.06308847962955406,10,50,1e-05,Adamax,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 1e-05, 'optimizer': 'Adamax'}",-0.5500861638994615,-0.4751341509564896,-0.5078245425502851,-0.40243273472802155,-0.34837402965348885,-0.4567703243575493,0.07260019226469833,31
17,7.009529066085816,0.1448303181680254,0.7961396694183349,0.08292038128425853,10,50,1e-05,Adadelta,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 1e-05, 'optimizer': 'Adadelta'}",-0.5633191849880579,-0.19101326773494273,-1.068976075133992,-1.054299479808357,-0.42239726723568705,-0.6600010549802073,0.34885077137729825,60
18,15.812473154067993,0.2535122894910646,0.8477488994598389,0.10742883317767636,10,200,0.001,Adam,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 0.001, 'optimizer': 'Adam'}",-0.6376205821019006,-0.6662411532063744,-0.5902963959404196,-0.38693666794961823,-0.3576824433541106,-0.5277554485104847,0.12954903637710335,56
19,25.14510922431946,3.969755192908138,3.4996136665344237,1.0094450342977905,10,200,0.001,Adamax,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 0.001, 'optimizer': 'Adamax'}",-0.49764516366157896,-0.597861479100229,-0.44052372257811123,-0.3540832722852702,-0.34209084168254034,-0.44644089586154595,0.09487249069015222,30
20,29.510174322128297,1.9764197648314283,1.0284803867340089,0.3702147754013698,10,200,0.001,Adadelta,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 0.001, 'optimizer': 'Adadelta'}",-0.5443249711981061,-0.23562058172474915,-0.39776845883110623,-0.22699905314879548,-0.423668745152414,-0.36567636201103415,0.12037794376408646,2
21,29.676001882553102,1.496395391809629,1.1229979515075683,0.4511984263483344,10,200,0.0001,Adam,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 0.0001, 'optimizer': 'Adam'}",-0.6446234922883542,-0.5637943136717734,-0.7018487004287303,-0.3875661675549392,-0.3469421166715175,-0.528954958123063,0.13971735838544708,57
22,31.67775363922119,0.8674827389077124,0.48648509979248045,0.32412276115532246,10,200,0.0001,Adamax,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 0.0001, 'optimizer': 'Adamax'}",-0.5168505824555862,-0.4825814235689246,-0.5345806684169773,-0.30488813123221564,-0.3490117196964266,-0.4375825050740261,0.09291884127674034,27
23,30.68998031616211,1.3145383728533924,0.40987200736999513,0.21354245647375675,10,200,0.0001,Adadelta,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 0.0001, 'optimizer': 'Adadelta'}",-0.5381292862186621,-0.24356799364233112,-0.3935719739569097,-0.2551591389999256,-0.5061513999097115,-0.38731595854550804,0.12250270366250002,10
24,30.00646104812622,1.8994351930656024,0.8564510345458984,0.3089910588555199,10,200,1e-05,Adam,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 1e-05, 'optimizer': 'Adam'}",-0.5723199651903258,-0.7518085552714804,-0.5281243612380473,-0.4026591628320652,-0.3975090568630353,-0.5304842202789908,0.13020130501931004,58
25,23.811673164367676,9.35341638586121,0.3522618293762207,0.09315305038331784,10,200,1e-05,Adamax,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 1e-05, 'optimizer': 'Adamax'}",-0.5663725053355178,-0.4434761871548813,-0.5902022787008612,-0.4128054729246974,-0.34054118308181214,-0.4706795254395539,0.09430615109151277,39
26,19.08944706916809,3.7282017538875754,0.386567497253418,0.11913998375697492,10,200,1e-05,Adadelta,"{'batch_size': 10, 'epochs': 200, 'learning_rate': 1e-05, 'optimizer': 'Adadelta'}",-0.5980155176214583,-0.4050515212149699,-0.3462650875585454,-0.5144151289203968,-0.438131084673925,-0.46037566799785906,0.08768329238106046,34
27,4.169830942153931,0.5977086316981551,0.35976285934448243,0.04532733575658569,50,10,0.001,Adam,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 0.001, 'optimizer': 'Adam'}",-0.45374770848379054,-0.26302549224742033,-0.36412603878070243,-0.3240102248903231,-0.32072399408937774,-0.34512669169832283,0.06315299557327336,1
28,5.5745758533477785,2.1156787447530254,0.7818371295928955,0.35989741852495016,50,10,0.001,Adamax,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 0.001, 'optimizer': 'Adamax'}",-0.5221367438624667,-0.343689373217415,-0.3687362919205106,-0.3375187296750906,-0.33739058228042906,-0.38189434419118234,0.07106400607918775,7
29,2.6721691608428957,0.16879669091777352,0.41837339401245116,0.029202526419535614,50,10,0.001,Adadelta,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 0.001, 'optimizer': 'Adadelta'}",-1.6330263119661237,-0.24166534375545903,-1.234488514991072,-0.8705723156113907,-1.0416560403817234,-1.0042817053411537,0.45807722326023054,65
30,6.459433889389038,2.5761682160582966,1.003675889968872,0.5288709504275876,50,10,0.0001,Adam,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 0.0001, 'optimizer': 'Adam'}",-0.6271559225402339,-0.31528686049534244,-0.3719239214311648,-0.3818133209511803,-0.33671543499355117,-0.4065790920822945,0.11285713494271188,17
31,3.8275707244873045,0.045903162786367926,0.2448431968688965,0.08704605038398754,50,10,0.0001,Adamax,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 0.0001, 'optimizer': 'Adamax'}",-0.5395894212218871,-0.3001449541642294,-0.42978130500892714,-0.339120747259365,-0.3038908115732114,-0.38250544784552404,0.0913850376843449,8
32,3.0937429904937743,0.20869414176262688,0.17272958755493165,0.007401096672743495,50,10,0.0001,Adadelta,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 0.0001, 'optimizer': 'Adadelta'}",-1.3020316505157739,-0.8248206106566699,-1.9046657430369858,-0.48498160634829557,-1.8297871051684913,-1.2692573431452432,0.5534661768353974,74
33,1.9446406841278077,0.7011907097585903,0.17042975425720214,0.007782303813417091,50,10,1e-05,Adam,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 1e-05, 'optimizer': 'Adam'}",-0.531649189443848,-0.3997814625728915,-0.35346937626409924,-0.30977239229026016,-0.33046732726616096,-0.38502794956745195,0.07918542553379537,9
34,1.5636737823486329,0.2878808667761669,0.1789313316345215,0.010963298646586139,50,10,1e-05,Adamax,"{'batch_size': 50, 'epochs': 10, 'learning_rate': 1e-05, 'optimizer': 'Adamax'}",-0.5704246265424007,-0.4105102491711212,-0.35778446859416707,-0.34282171650134474,-0.34398039984760287,-0.40510429213132737,0.0862721884223532,16
